County,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
Yazd,T2M,2015,6.54,8.09,10.47,18.74,24.02,29.34,28.09,27.17,22.47,19.86,10.25,5.5,17.59
Yazd,T2M,2016,6.43,8.25,12.76,16.36,24.83,26.61,29.71,25.94,25.84,17.93,10.27,8.89,17.85
Yazd,T2M,2017,5.67,6.09,11.4,19.19,24.53,28.78,28.38,26.22,23.62,19.23,11.98,8.02,17.82
Yazd,T2M,2018,5.58,8.83,15.63,16.6,20.9,28.33,29.26,27.98,24.48,17.59,10.87,8.15,17.9
Yazd,T2M,2019,7.12,5.99,9.6,15.41,22.53,28.66,31.12,27.76,25.65,18.9,8.17,6.99,17.39
Yazd,T2M,2020,3.1,8.04,10.76,16.04,23.02,28.79,28.97,28.22,22.44,16.03,11.17,5.15,16.83
Yazd,T2M,2021,4.72,9.27,13.65,19.58,23.32,29.16,30.35,27.72,25.16,17.29,10.08,7.93,18.23
Yazd,T2M,2022,5.14,8.17,14.31,20.49,21.8,28.68,29.21,25.45,25.06,19.83,12.16,5.37,18.01
Yazd,T2M,2023,1.67,7.09,13.5,17.39,23.55,29.34,30.43,27.51,24.61,19.91,13.61,9.38,18.22
Yazd,T2M,2024,7.97,6.11,10.3,15.69,21.87,28.48,31.79,30.82,23.79,19.08,13.82,5.57,17.98
Yazd,T2M_MAX,2015,20.2,22.78,26.82,32.66,37.24,40.72,38.33,37.94,36.45,32.24,22.97,22.66,40.72
Yazd,T2M_MAX,2016,19.61,25.78,27.67,32.86,36.74,39.03,40.24,36.97,38.19,30.11,26.63,24.15,40.24
Yazd,T2M_MAX,2017,22.3,20.27,24.7,33.94,37.8,41.31,40.92,37.52,35.7,32.68,27.43,25.16,41.31
Yazd,T2M_MAX,2018,20.9,24.19,32.28,30.18,36.41,40.73,40.7,39.08,37.94,31.34,22.86,22.1,40.73
Yazd,T2M_MAX,2019,19.66,20.53,22.58,28.39,33.95,41.32,42.14,42.76,38.93,32.08,24.42,18.83,42.76
Yazd,T2M_MAX,2020,15.19,22.98,23.15,31.82,37.16,40.56,40.21,42.29,35.05,30.15,26.4,19.06,42.29
Yazd,T2M_MAX,2021,20.84,23.93,30.51,31.95,38.01,41.81,41.98,38.86,36.64,32.85,25.52,21.82,41.98
Yazd,T2M_MAX,2022,19.77,23.19,28.59,30.89,36.07,41.31,42.15,40.14,36.26,31.17,27.85,18.49,42.15
Yazd,T2M_MAX,2023,14.41,21.17,25.65,29.99,36.77,42.17,41.72,40.12,37.9,33.08,25.46,21.01,42.17
Yazd,T2M_MAX,2024,20.6,22.32,24.59,28.97,37.14,39.98,44.36,42.68,36.05,32.43,29.61,20.81,44.36
Yazd,T2M_MIN,2015,-6,-5.83,-4.78,4.58,11.74,18.69,15.68,16.41,10.79,7.35,-0.05,-4.86,-6
Yazd,T2M_MIN,2016,-5.04,-5.76,0.57,-0.14,11.24,13.54,19.42,14.96,10.77,5.78,-7.01,-3.75,-7.01
Yazd,T2M_MIN,2017,-4.64,-6.34,-1.11,2.77,11.58,14.35,17.15,14.19,11.77,7.22,-1.49,-3.88,-6.34
Yazd,T2M_MIN,2018,-6.35,-3,1.89,2.94,8.85,16.37,17.18,17.42,12.8,4.35,1.07,-1.86,-6.35
Yazd,T2M_MIN,2019,-4.37,-4.23,-2.4,2.31,9.24,14.78,19.25,16.72,12.3,8.02,-3.8,-2.44,-4.37
Yazd,T2M_MIN,2020,-6.88,-6.52,-2.56,1.36,8.96,16.67,17.78,14.76,9.08,5.14,-0.36,-5.92,-6.88
Yazd,T2M_MIN,2021,-6.53,-6.11,0.2,5.36,10.31,17.54,18.64,16.89,12.99,4.54,-1.79,-1.28,-6.53
Yazd,T2M_MIN,2022,-5.44,-3.78,1.11,7.32,8.47,15.98,18.05,12.15,16.17,9.54,3.02,-3.98,-5.44
Yazd,T2M_MIN,2023,-6.79,-5.52,1.68,2.04,7.19,17.02,19.69,13.45,11.66,9.83,3.02,-1.18,-6.79
Yazd,T2M_MIN,2024,-2.41,-7.75,-7.94,5.03,8.58,15.95,21.2,17.65,8.52,5.27,-0.62,-6.19,-7.94
Ardakan,T2M,2015,8.11,9.88,12.16,20.55,26.1,31.36,30.42,29.35,24.59,21.6,11.75,6.41,19.4
Ardakan,T2M,2016,7.9,9.9,14.68,18.41,26.84,28.83,31.72,28.32,27.45,19.44,11.46,9.95,19.61
Ardakan,T2M,2017,6.9,7.09,13.15,20.84,26.69,30.61,30.65,28.68,25.85,20.95,13.88,9.65,19.65
Ardakan,T2M,2018,7.35,10.4,17.74,18.02,22.8,30.17,31.78,30.17,26.43,19.42,12.17,9.6,19.72
